OBJECTID,BuildingID,PropertyID,PropertyName,PropertyAddress,City,ZipCode,ZipFull,AreaSqFt,PropertyType,PrimaryPropertyType,NumberOfUnits,PropertyGFA_CalculatedBuildingsSqFt,YearBuilt,NumberOfBuildings,ENERGY_STAR_Score,WeatherNormalizedSiteEUI_kBtuSqFt,SiteEUI_kBtuSqFt,Total_GHG_EmissionsMetricTonsCO2e,CPNAME,X_coordNAD83,Y_coordNAD83,x,y
1,100005,2524669,70300123 -- G Str.,101 G St,San Diego,92101,92101,53820,Commercial,Supermarket/Grocery Store,,43318,1996,1,70,8626812.6,199.2,578.9,DOWNTOWN,6280733.07238187,1840078,-13042562.275475742,3857142.460700616
2,100006,7950231,Mission Valley Plaza,1011 Camino Del Rio S,San Diego,921083531,92108,61518,Commercial,Office,,61517,1984,1,,,,0,MISSION VALLEY,6283667.84033614,1858883,-13041559.258014439,3863991.4677943443
3,100013,2524637,70300051 -- Hillcrest,1020-1050 University Ave,San Diego,921037325,92103,50517,Commercial,Supermarket/Grocery Store,,43034,1989,1,78,8396826.1,191,535.8,UPTOWN,6283569.7454894,1853402,-13041577.56171535,3861997.3115632
4,100021,6872737,Quantum Design Inc.,10307 Pacific Center Ct,San Diego,921214340,92121,53539,Commercial,Manufacturing/Industrial Plant,,104000,1991,2,,14699725.5,143.2,1049.1,MIRA MESA,6274004.78711674,1910469,-13045226.109934501,3882743.6656692605
5,100034,6233966,Wateridge Pavilion,10525 Vista Sorrento Pky,San Diego,921212745,92121,62427,Commercial,Office,,62427,1986,1,91,1992520.1,31.9,135.5,MIRA MESA,6265090.75301528,1908213,-13048451.433055041,3881891.709658718
6,100035,1577638,Qualcomm A,10555 Sorrento Valley Rd,San Diego,921211608,92121,62424,Commercial,Office,,62868,1983,1,,,,,TORREY PINES,6264386.22395432,1907641,-13048705.002835842,3881680.852382168
7,100061,7760199,San Deigo Jewish Academy,11860 Carmel Creek Rd,San Diego,92130,92130,62511,Commercial,K-12 School,,153000,2000,7,,,,0,CARMEL VALLEY,6260730.3449685,1920550,-13050074.819936076,3886373.076379053
8,100063,7148981,2079 - Rancho Bernardo,11986 Bernardo Plaza Dr,San Diego,921282538,92128,60160,Commercial,Supermarket/Grocery Store,,60434,1974,1,58,13693145.8,224.5,873.8,RANCHO BERNARDO,6309676.46702242,1952268,-13032408.216256138,3898094.7087975442
9,100067,1839109,Executive Center Del Mar - 12220,12220 El Camino Real,San Diego,921302091,92130,56552,Commercial,Office,,57845,1998,1,81,2786248.5,47.6,189.9,CARMEL VALLEY,6257874.76922896,1922093,-13051116.105228884,3886925.658273659
10,100069,1839111,Executive Center Del Mar - 12230,12230 El Camino Real,San Diego,921302090,92130,56552,Commercial,Office,,50022,1998,1,89,1679507.4,33.4,114.5,CARMEL VALLEY,6257862.14475063,1922307,-13051121.422279665,3887003.5651817457
