OBJECTID,SanGIS_ID,PropertyID,BuildingID,BuildingID2,PropertyName,PropertyAddress,ZipCode,ZipFull,PropertyGFA_CalculatedBuildingsSqFt,PropertyType,YearBuilt,NumberOfBuildings,ENERGY_STAR_Score,SiteEUI_kBtuSqFt,WeatherNormalizedSiteEUI_kBtuSqFt,Total_GHG_EmissionsMetricTonsCO2e,Compliance,X_coord,Y_coord,Method,CPNAME,x,y
1,247,2524669,100005,,70300123 -- G Str.,101 'G' Street,92101,92101,43318,Commerical,1996,1,68,203.1,203.1,562.7,Compliant,6280733.07238187,1840078,2018 data,DOWNTOWN,-13042562.276930641,3857142.6228690976
2,328,3964545,100009,,10121 Barnes Canyon,10121 Barnes Canyon,92121,92121,67015,Commerical,1984,1,,47.8,48,224.7,Compliant,6270517.59945489,1908054,2018 data,MIRA MESA,-13046482.862095824,3881852.031033781
3,212,1763800,100012,,0657-San Diego (Rancho Penasquitos),10185 Paseo Montril,92129,92129,55260,Commerical,1987,1,62,55.5,55.5,185.4,Compliant,6298960.14861462,1926691,2018 data,RANCHO PENASQUITOS,-13036223.633465568,3888734.576247052
4,245,2524637,100013,,70300051 -- Hillcrest,1030 University,92103,92103,43034,Commerical,1989,1,61,209.9,209.9,580.7,Compliant,6283569.7454894,1853402,2018 data,UPTOWN,-13041577.562040586,3861997.3455178593
5,172,12438414,100015,,Test Property 09/10/2020,123 Main Street,92101,92101,200000,Commerical,1970,1,93,43.3,43.3,543.8,Compliant,6277642.84623215,1910369,2018 data,MIRA MESA,-13043906.344655585,3882718.9165637116
6,313,3593117,100017,,BMR-10255 Science Center LP,10255 Science Center Dr,92121,92121-1117,54608,Commerical,2004,1,,73.7,73.7,279.5,Compliant,6260402.85013224,1905015,2018 data,UNIVERSITY,-13050140.581673056,3880710.6509025916
7,663,9144808,100029,,Wateridge Pointe-10421,10421 Wateridge Circle,92121,92121,63435,Commerical,1998,1,70,43.6,43.7,192.6,Compliant,6267755.4591149,1908321,2018 data,MIRA MESA,-13047485.438093327,3881940.118835143
8,664,9144809,100030,,Wateridge Pointe-10431,10431 Wateridge Circle,92121,92121,64824,Commerical,1998,1,56,54,54.1,243.4,Compliant,6267557.78440597,1908638,2018 data,MIRA MESA,-13047558.1816665,3882054.9643831453
9,423,5985189,100036,,10618 Science Center Dr,10618 Science Center Drive,92121,92121,59248,Commerical,2010,1,,282.7,284.2,1006.9,Compliant,6260329.65802948,1907686,2018 data,UNIVERSITY,-13050176.241669763,3881683.580556695
10,37,10836325,100039,,"SCRIPPS TECHNOLOGY PLAZA, SCRIPPS T [SDGE]",10640-10660 SCRIPPS RANCH BLVD,92131,92131,62244,Commerical,1986,1,85,32.2,32.8,141.1,Compliant,6297521.25773654,1912829,2018 data,SCRIPPS MIRAMAR RANCH,-13036704.23425668,3883677.425988666
